City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Dakar,SN,14.6937,-17.4441,77.13,50,0,13.8,clear sky,2022-11-27 07:51:07
1,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,3.44,scattered clouds,2022-11-27 07:51:08
2,Mahebourg,MU,-20.4081,57.7,80.89,61,40,13.8,scattered clouds,2022-11-27 07:47:07
3,Volgorechensk,RU,57.4393,41.1555,15.67,95,95,6.11,overcast clouds,2022-11-27 07:51:08
4,Puerto Ayora,EC,-0.7393,-90.3518,66.54,98,95,6.38,overcast clouds,2022-11-27 07:51:09
5,Hilo,US,19.7297,-155.09,69.53,90,20,3.44,few clouds,2022-11-27 07:51:09
6,Dingle,PH,10.9995,122.6711,82.17,74,12,10.25,few clouds,2022-11-27 07:51:10
7,Inuvik,CA,68.3499,-133.7218,-3.14,80,100,5.75,light snow,2022-11-27 07:51:10
8,Rikitea,PF,-23.1203,-134.9692,74.43,80,73,6.06,broken clouds,2022-11-27 07:51:11
9,Port Hardy,CA,50.6996,-127.4199,37.58,93,40,10.36,scattered clouds,2022-11-27 07:51:11
10,Busselton,AU,-33.65,115.3333,71.94,44,0,13.42,clear sky,2022-11-27 07:50:17
11,Jamestown,US,42.097,-79.2353,45.99,64,0,6.91,clear sky,2022-11-27 07:47:08
12,Quelimane,MZ,-17.8786,36.8883,84.15,74,40,11.5,scattered clouds,2022-11-27 07:51:12
13,Arraial Do Cabo,BR,-22.9661,-42.0278,72.63,94,100,25.1,overcast clouds,2022-11-27 07:51:13
14,Hami,CN,42.8,93.45,23.94,15,100,19.06,overcast clouds,2022-11-27 07:50:33
15,Azul,AR,-36.777,-59.8585,58.17,88,4,6.91,clear sky,2022-11-27 07:51:14
16,Severo-Kurilsk,RU,50.6789,156.125,36.23,88,100,9.26,overcast clouds,2022-11-27 07:51:14
17,Lianzhou,CN,24.7811,112.3825,70.52,99,100,3.6,overcast clouds,2022-11-27 07:51:15
18,Hobart,AU,-42.8794,147.3294,56.05,54,75,13.8,broken clouds,2022-11-27 07:50:04
19,Kahului,US,20.8947,-156.47,70.84,91,100,10.36,mist,2022-11-27 07:51:15
20,Rawson,AR,-43.3002,-65.1023,56.1,86,100,10.42,overcast clouds,2022-11-27 07:46:37
21,Umm Bab,QA,25.2142,50.8072,80.28,39,8,7.54,clear sky,2022-11-27 07:51:16
22,Lasa,IT,46.6166,10.7002,32.88,51,12,3.58,few clouds,2022-11-27 07:46:57
23,Khatanga,RU,71.9667,102.5,4.26,95,100,10.25,overcast clouds,2022-11-27 07:47:18
24,Ostersund,SE,63.1792,14.6357,34.61,100,100,12.66,overcast clouds,2022-11-27 07:47:43
25,Pula,HR,44.8683,13.8481,51.57,57,0,18.41,clear sky,2022-11-27 07:51:17
26,Butaritari,KI,3.0707,172.7902,81.43,76,100,9.86,overcast clouds,2022-11-27 07:51:18
27,Banjar,ID,-8.19,114.9675,81.28,87,83,3.44,light rain,2022-11-27 07:51:18
28,San Cristobal,VE,7.7669,-72.225,64.72,98,100,1.81,overcast clouds,2022-11-27 07:51:19
29,Cape Town,ZA,-33.9258,18.4232,73.11,59,0,19.57,clear sky,2022-11-27 07:51:19
30,Coquimbo,CL,-29.9533,-71.3436,60.53,88,100,3.44,overcast clouds,2022-11-27 07:48:13
31,Kaitangata,NZ,-46.2817,169.8464,48.25,76,99,2.64,overcast clouds,2022-11-27 07:51:20
32,Ushuaia,AR,-54.8,-68.3,42.46,81,0,6.91,clear sky,2022-11-27 07:51:21
33,Lebu,CL,-37.6167,-73.65,55.87,85,6,12.03,clear sky,2022-11-27 07:51:21
34,Vanderhoof,CA,54.0166,-124.0198,27.45,67,13,11.7,few clouds,2022-11-27 07:51:22
35,Ponta Do Sol,PT,32.6667,-17.1,66.83,74,95,4.25,overcast clouds,2022-11-27 07:51:22
36,Medicine Hat,CA,50.0501,-110.6683,36.21,65,100,18.41,overcast clouds,2022-11-27 07:51:01
37,Katsuura,JP,35.1333,140.3,59.2,66,89,14.85,overcast clouds,2022-11-27 07:50:27
38,Prescott,US,34.54,-112.4685,39.11,38,0,4.61,clear sky,2022-11-27 07:51:23
39,Phan Thiet,VN,10.9333,108.1,82.87,75,84,12.68,broken clouds,2022-11-27 07:51:24
40,Vanimo,PG,-2.6741,141.3028,82.36,75,100,5.53,overcast clouds,2022-11-27 07:51:24
41,Bredasdorp,ZA,-34.5322,20.0403,71.11,49,27,14.27,scattered clouds,2022-11-27 07:51:25
